Date,Total P/L,Cumulative
2023/05/08,9.82,9.82
2023/05/09,0.36,10.18
2023/05/10,-1.75,8.43
2023/05/11,0.77,9.2
2023/05/12,0,9.2
2023/05/13,4.2,13.4
2023/05/14,-2.84,10.56
2023/05/15,5.59,16.15
2023/05/16,3.9,20.05
2023/05/17,0,20.05
2023/05/18,-2,18.05
2023/05/19,1.61,19.66
2023/05/20,-2,17.66
2023/05/21,-1,16.66
2023/05/22,0,16.66
2023/05/23,0,16.66
2023/05/24,0,16.66
2023/05/25,0,16.66
2023/05/26,0,16.66
2023/05/27,0,16.66
2023/05/28,0,16.66
2023/05/29,13.17,29.83
2023/05/30,-1.27,28.56
2023/05/31,0.05,28.61
2023/06/01,-2,26.61
2023/06/02,0,26.61
2023/06/03,3.59,30.2
2023/06/04,-1,29.2
2023/06/05,0,29.2
2023/06/06,0,29.2
2023/06/07,4.85,34.05
2023/06/08,2.68,36.73
2023/06/09,-1,35.73
2023/06/10,-1,34.73
2023/06/11,0.76,35.49
2023/06/12,0,35.49
2023/06/13,0,35.49
2023/06/14,0,35.49
2023/06/15,0,35.49
2023/06/16,0,35.49
2023/06/17,0,35.49
2023/06/18,0,35.49
2023/06/19,0,35.49
2023/06/20,0,35.49
2023/06/21,0,35.49
2023/06/22,0,35.49
2023/06/23,0,35.49
2023/06/24,0,35.49
2023/06/25,0,35.49
2023/06/26,0,35.49
2023/06/27,0,35.49
2023/06/28,0,35.49
2023/06/29,0,35.49
2023/06/30,0,35.49
2023/07/01,0,35.49
2023/07/02,0,35.49
2023/07/03,0,35.49
2023/07/04,0,35.49
2023/07/05,0,35.49
2023/07/06,0,35.49
2023/07/07,0,35.49
2023/07/08,0,35.49
2023/07/09,0,35.49
2023/07/10,0,35.49
2023/07/11,0,35.49
2023/07/12,0,35.49
2023/07/13,0.58,36.07
2023/07/14,-3,33.07
2023/07/15,0.19,33.26
2023/07/16,0.98,34.24
2023/07/17,0.61,34.85
2023/07/18,-2,32.85
2023/07/19,6.97,39.82
2023/07/20,-2,37.82
2023/07/21,-1,36.82
2023/07/22,-1,35.82
2023/07/23,-2,33.82
2023/07/24,0,33.82
2023/07/25,0,33.82
2023/07/26,0.15,33.97
2023/07/27,-1.69,32.28
2023/07/28,1.49,33.77
2023/07/29,-0.22,33.55
2023/07/30,-3.83,29.72
2023/07/31,2.14,31.86
2023/08/01,5.1,36.96
2023/08/02,0,36.96
2023/08/03,0,36.96
2023/08/04,-1,35.96
2023/08/05,1.68,37.64
2023/08/06,-1,36.64
2023/08/07,0,36.64
2023/08/08,0,36.64
2023/08/09,0,36.64
2023/08/10,0,36.64
2023/08/11,0,36.64
2023/08/12,0,36.64
2023/08/13,0,36.64
2023/08/14,0,36.64
2023/08/15,0,36.64
2023/08/16,-3.97,32.67
2023/08/17,-0.76,31.91
2023/08/18,-2,29.91
2023/08/19,-1,28.91
2023/08/20,-1,27.91
2023/08/21,0,27.91
2023/08/22,0,27.91
2023/08/23,0,27.91
2023/08/24,0,27.91
2023/08/25,0,27.91
2023/08/26,0,27.91
2023/08/27,0,27.91
2023/08/28,0,27.91
2023/08/29,0,27.91
2023/08/30,2.02,29.93
2023/08/31,-3,26.93
2023/09/01,-1,25.93
2023/09/02,-0.6,25.33
2023/09/03,-2,23.33
2023/09/04,0,23.33
2023/09/05,0,23.33
2023/09/06,1.26,24.59
2023/09/07,0.21,24.8
2023/09/08,0.72,25.52
2023/09/09,0.39,25.91
2023/09/10,-1.19,24.72
2023/09/11,0,24.72
2023/09/12,0,24.72
2023/09/13,-4,20.72
2023/09/14,-4,16.72
2023/09/15,-1,15.72
2023/09/16,-2,13.72
2023/09/17,3.73,17.45
2023/09/18,0,17.45
2023/09/19,0,17.45
2023/09/20,-0.73,16.72
2023/09/21,0.96,17.68
2023/09/22,0.57,18.25
2023/09/23,4.56,22.81
2023/09/24,-0.79,22.02
2023/09/25,0,22.02
2023/09/26,7.08,29.1
2023/09/27,1.24,30.34
2023/09/28,4.35,34.69
2023/09/29,0.35,35.04
2023/09/30,0.05,35.09
2023/10/01,0.91,36
2023/10/02,0,36
2023/10/03,0,36
2023/10/04,0,36
2023/10/05,0,36
2023/10/06,0,36
2023/10/07,0,36
2023/10/08,0,36
2023/10/09,0,36
2023/10/10,0,36
2023/10/11,0,36
2023/10/12,0,36
2023/10/13,0,36
2023/10/14,0,36
2023/10/15,0,36
2023/10/16,4.52,40.52
2023/10/17,-3.54,36.98
2023/10/18,1.45,38.43
2023/10/19,0,38.43
2023/10/20,-0.18,38.25
2023/10/21,1.22,39.47
2023/10/22,-1,38.47
2023/10/23,0,38.47
2023/10/24,0,38.47
2023/10/25,0,38.47
2023/10/26,0,38.47
2023/10/27,0,38.47
2023/10/28,0,38.47
2023/10/29,0,38.47
2023/10/30,0,38.47
2023/10/31,0,38.47
2023/11/01,0,38.47
2023/11/02,0,38.47
2023/11/03,0,38.47
2023/11/04,0,38.47
2023/11/05,0,38.47
2023/11/06,0,38.47
2023/11/07,0,38.47
2023/11/08,0,38.47
2023/11/09,0,38.47
2023/11/10,0,38.47
2023/11/11,0,38.47
2023/11/12,0,38.47
2023/11/13,0,38.47
2023/11/14,0,38.47
2023/11/15,0,38.47
2023/11/16,0,38.47
2023/11/17,0,38.47
2023/11/18,0,38.47
2023/11/19,0,38.47
2023/11/20,0,38.47
2023/11/21,0,38.47
2023/11/22,-1.03,37.44
2023/11/23,-0.61,36.83
2023/11/24,-0.16,36.67
2023/11/25,-2,34.67
2023/11/26,0,34.67
2023/11/27,0,34.67
2023/11/28,0,34.67
2023/11/29,0,34.67
2023/11/30,0,34.67
2023/12/01,0,34.67
2023/12/02,0,34.67
2023/12/03,0,34.67
2023/12/04,0,34.67
2023/12/05,-1,33.67
2023/12/06,1.67,35.34
2023/12/07,2.2,37.54
2023/12/08,3.2,40.74
2023/12/09,-2,38.74
2023/12/10,1,39.74
2023/12/11,0,39.74
2023/12/12,0,39.74
2023/12/13,-4,35.74
2023/12/14,-2.51,33.23
2023/12/15,1.55,34.78
2023/12/16,-1,33.78
2023/12/17,-1,32.78
